Video Id,Video Name ,颜色,形状,位置,状态,视频质量,相似干扰,遮挡,长视频,透明物体,小物体
75,melt_cheese_1,0,2,1,2,1,0,0,0,0,1
76,melt_oil_1,2,1,1,2,0,0,0,0,1,0
77,twist_mop_1,0,2,1,0,0,0,0,0,0,0
78,shake_wine_1,0,1,2,0,1,0,0,0,1,0
79,shake_wine_2,0,1,2,0,1,0,0,0,1,0
80,pour_milk_1,1,2,2,0,0,0,0,0,0,0
81,cut_garlic_1,0,0,1,2,0,2,0,0,0,0
82,cut_green_olives_1,0,0,2,1,0,1,1,0,0,0
83,cut_tomato_1,0,0,1,1,0,2,2,0,0,1
84,disassemble_gun_1,0,0,1,1,1,1,1,0,0,0
85,disassemble_gun_2,0,0,1,2,0,0,1,0,0,0
86,disassemble_gun_3,0,1,1,1,0,0,1,0,0,0
87,pour_water_1,1,2,1,0,0,0,0,0,2,0
88,pour_beer_1,0,2,1,0,0,0,0,0,1,0
89,tie_shoelaces_1,0,2,1,0,0,0,1,0,0,1
90,cut_cigar_wrapper_1,0,1,1,1,0,1,1,1,0,0
91,warp_cigar_1,0,1,1,1,0,1,1,1,0,0
92,warp_cigar_2,0,2,1,1,0,1,1,2,0,0
93,warp_cigar_3,0,2,1,1,0,1,2,2,0,0
94,make_chocolate_noddle_1,0,2,1,2,0,0,1,0,0,0
95,ground_herbal_1,0,0,1,1,1,0,1,0,0,0
96,pour_ground_herbal_2,0,0,2,0,1,0,1,0,0,1
97,pour_water_2 （slow）,1,2,0,0,0,0,0,0,2,0
98,"pour_water_3
(slow)
",0,2,0,0,0,0,0,0,2,0
99,serve_dishes_1,0,1,2,0,0,0,0,2,0,0
100,pour_soup_1,1,1,2,0,0,0,0,0,1,0
101,pour_soup_2,0,1,2,0,0,0,0,0,1,0
102,chop_onion_1,0,0,1,2,0,0,1,0,0,1
103,heat_water_1,1,1,2,1,1,0,0,0,1,1
104,assemble_puzzle_1,0,0,2,0,0,1,2,1,0,0
105,assemble_puzzle_2,0,0,1,0,1,2,1,2,0,0
106,break_puzzle_1,0,0,2,0,1,2,2,0,0,0
107,assemble_puzzle_3,0,0,1,0,0,2,2,0,0,0
108,assemble_puzzle_4,0,0,1,0,0,2,2,0,0,0
109,stir_milk_1,2,0,0,1,0,0,0,0,1,0
110,"pour_water_4
(slow)
",1,0,2,0,0,1,0,0,2,0
111,drip_liquid_1,0,1,1,0,0,0,1,0,1,1
112,drip_liquid_2,0,1,1,0,0,0,1,0,1,1
113,carving_radish_1,0,1,1,1,0,1,0,1,0,0
114,curly_pile_1,0,2,1,0,0,0,1,2,0,0
115,sharpen_pencil_1,1,1,0,1,0,0,0,0,0,1
116,sheare_sheep_1,1,2,0,1,1,1,1,0,0,0
117,sheare_sheep_2,1,2,0,1,1,1,1,0,0,0
118,sheare_sheep_3,1,2,0,1,1,1,1,0,0,0
119,grind_powder_,0,1,0,2,1,0,1,0,0,1
120,scoop_seeds_1,0,0,1,0,0,0,0,0,0,1
121,smash_cucumber_1,1,2,0,1,2,0,1,0,0,1
122,smash_fruit_1,0,2,0,0,0,0,1,0,0,0
123,smash_fruit_2,0,2,0,0,0,0,2,0,0,0
124,smash_garlic_1,0,0,0,0,0,0,2,0,0,2
125,smash_herbs_1,0,0,1,2,1,0,1,1,0,1
126,smash_seeds_1,0,2,0,1,0,0,1,0,0,0
127,water_change_color_1,2,0,1,1,0,0,0,0,2,0
128,water_change_color_2,2,0,0,1,0,0,0,0,0,0
129,make_pancakes_1,0,2,1,1,1,0,0,0,0,0
130,make_omelet_1,1,2,1,1,1,0,0,0,0,0
131,Brush_sauce_1,1,2,1,1,1,0,0,0,0,0
132,shave_beard_1,0,2,1,1,0,0,0,0,0,0
133,shave_beard_2,0,2,1,1,0,0,0,1,0,0
134,shave_fish_1,0,2,0,1,0,1,1,1,0,0
135,shave_fish_2,0,2,0,1,0,0,1,0,0,0
136,turn_screw_1,0,0,2,0,0,1,0,0,0,2
137,turn_screw_2,0,0,2,0,0,1,0,0,0,2
138,turn_screw_3,0,0,2,0,0,1,0,0,0,2
139,paint_plate_1,0,2,1,0,0,0,0,0,0,1
140,break_glass_1,0,0,2,2,0,1,0,0,2,1
141,grow_plant_1,0,1,0,1,0,0,1,0,0,0
142,pull_cataracts_1,,,,,,,,,,,
143,pull_noodles_2,0,2,2,1,0,0,0,0,0,0
144,pull_noodles_3,0,2,2,1,0,0,0,0,0,0
145,suture_wound_1,,,,,,,,,,,
146,suture_wound_2,0,0,1,0,2,0,1,0,1,2
147,tearing_cabbage_1,0,1,1,2,0,1,0,0,0,0
148,tie_knot_1,0,2,1,0,0,0,1,1,0,1
149,tie_knot_2,0,2,1,0,0,0,1,1,0,2
150,apply_glue_1,0,1,0,1,1,0,0,0,2,2
151,apply_glue_2,0,1,0,1,1,0,0,0,2,2
152,break_ cookies_1,0,0,1,1,0,0,0,0,0,1
153,break_bubble_1,0,2,0,1,0,0,0,0,2,0
154,break_bubble_2,0,2,0,1,0,0,0,0,2,0
155,break_bubble_3,0,2,0,1,0,0,0,0,2,0
156,break_bubble_4,0,2,0,1,0,0,0,0,2,0
157,stir_cola_1,1,1,0,1,0,0,0,0,0,0
158,stir_cola_2,1,1,0,1,0,0,0,0,0,0
159,cut_glue_stickt_1,0,0,2,1,0,1,2,0,0,2
160,erupting_liquid_1,2,2,0,1,0,0,0,0,0,0
161,erupting_liquid_2,2,2,0,1,0,0,0,0,0,0
162,flow_water_1,0,1,2,1,1,0,0,0,2,0
163,hit_balloon_1,0,2,1,0,0,0,1,0,0,0
164,hit_balloon_2,0,2,1,0,0,0,1,0,0,0
165,knead_cheese_1,0,2,1,0,0,0,0,0,0,0
166,knead_cheese_2,0,2,1,0,0,0,0,0,0,0
167,knead_cheese_3,0,2,1,0,0,0,0,0,0,0
168,Making_fibers_1,0,2,1,1,0,0,0,0,0,1
169,Melting_cans_1,1,2,0,1,1,0,1,2,0,0
170,pour_tea_1,1,1,2,0,0,0,0,0,1,0
171,pour_tea_2,1,1,2,0,0,0,0,0,1,0
172,pour_tea_3,1,1,2,0,0,0,0,0,1,0
173,pour_tea_4,1,1,2,0,0,0,0,0,1,0
174,pour_tea_5,1,1,2,0,0,0,0,0,1,0
175,pour_tea_6,0,1,2,0,0,0,1,0,1,0
176,pour_tea_7,1,1,2,0,0,0,1,0,1,0
177,solidify_gold_1,0,1,1,0,0,0,0,0,0,0
178,puncture_balloon_1,0,2,1,2,0,0,0,0,0,2
179,puncture_balloon_2,0,2,1,2,0,0,0,0,0,2
180,puncture_ballon_3,0,2,1,2,0,0,0,0,0,2
181,puncture_balloon_4,0,2,1,2,0,0,0,0,0,2
182,Rubbing_sponge_1,0,2,0,0,0,0,1,0,0,0
183,solder_wire_1,0,1,0,1,0,2,0,0,0,2
184,solidify_aluminum_1,0,2,1,0,0,0,0,0,0,0
185,solidify_aluminum_2,0,2,1,0,0,0,0,0,0,0
186,solidify_iron_1,1,0,0,0,0,0,0,0,0,0
187,solidify_water_1,1,0,0,2,0,0,0,0,1,0
188,solidify_water_2,1,0,0,2,0,0,0,0,1,0
189,solidify_water_3,1,0,0,2,0,0,0,0,1,0
190,solidify_water_4,0,1,0,1,0,0,0,0,1,0
191,solidify_water_5,1,0,0,2,0,0,0,0,1,0
192,solidify_water_6,1,0,0,2,0,0,0,0,1,0
193,solidify_water_7,1,0,1,2,0,0,0,0,1,0
194,splash_water_1,1,2,1,0,0,1,0,0,1,1
195,splash_water_2,1,2,1,0,0,1,0,2,1,1
196,melt_glue_block_1,1,2,0,1,0,0,0,0,1,1
197,melt_glue_stick_2,0,1,2,1,0,0,0,0,2,1
198,melt_glue_stick_3,0,1,2,1,0,0,0,0,2,1
199,melt_glue_stick_4,0,1,2,1,0,0,0,0,2,1
200,splash_water_3,1,2,1,2,1,0,0,0,0,0
201,splash_water_4,1,2,1,2,1,0,0,0,0,0
202,splash_water_5,1,2,1,2,1,1,0,0,0,0
203,splash_water_6,1,2,1,2,1,0,0,0,0,0
204,crystallize_metal_1,0,1,0,1,0,0,0,0,0,0
205,crystallize_liquid_3,1,2,0,1,2,0,0,0,0,1
206,crystallize_liquid_4,1,2,0,1,2,0,0,0,0,1
207,crystallize_liquid_5,1,2,0,1,2,0,0,0,0,1
208,break_glass_4,1,2,1,2,0,0,0,0,1,2
209,break_glass_5,1,2,1,2,0,0,0,0,1,2
210,condensation_water_2,0,2,0,2,2,2,0,0,2,1
211,grow_rime_1,0,1,0,1,0,0,0,0,0,0
212,vaporized_liquid_nitrogen_1,0,2,1,1,1,0,0,0,0,1
213,evaporate_water_3,,,,,,,,,,,
214,evaporate_water_4,,,,,,,,,,,
215,condensation_water_3,,,,,,,,,,,
216,evaporate_water_5,,,,,,,,,,,
217,solify_liquid_2,0,2,0,1,0,0,0,0,1,0
218,evaporate_water_5,0,2,1,0,2,0,0,0,2,1
219,crystallize_liquid_3,1,1,1,1,1,0,0,1,0,0
220,crystallize_liquid_4,1,1,1,1,1,0,0,1,0,0
221,crystallize_liquid_5,1,1,1,1,1,0,0,1,0,0
222,crystallize_liquid_6,1,1,1,1,1,0,0,1,0,0
223,solify_liquid_1,1,0,0,2,0,0,0,0,1,0
224,evaporate_water_6,,,,,,,,,,,
225,burn_plastic_1,,,,,,,,,,,
226,burn_plastic_2,,,,,,,,,,,
227,break_glass_6,1,2,1,2,0,0,0,0,1,2
228,sublime_dryice_2,0,1,2,1,0,0,0,0,1,0
229,soften_metal_1,0,1,0,0,1,0,0,0,0,0
230,crystallize_liquid_7,2,0,0,1,0,0,0,0,1,0
231,sublime_dryice_3,1,2,2,1,0,0,0,0,2,0
232,sublime_dryice_4,0,1,2,1,0,0,0,0,1,0
233,generate_iodine_1,1,2,2,1,0,0,0,0,1,0
234,generate_iodine_2,1,2,2,1,0,0,0,0,1,0
235,forge_steel_2,1,1,1,1,1,0,1,0,0,0
236,condensation_water_4,1,2,0,1,0,0,0,0,0,2
237,condensation_water_5,1,2,0,1,0,0,0,0,0,2
238,dissolve_salt_1,0,1,0,1,0,0,0,0,0,1
239,melt_chocolate_1,0,1,0,2,0,0,0,0,0,0
240,burn_plastic_3,1,2,0,1,0,0,0,0,2,0
241,break_glass_2,1,2,1,2,0,0,0,0,1,2
242,break_glass_3,1,1,1,1,0,0,0,0,2,2
243,coagulate_water_1,0,2,1,1,1,1,0,0,2,2
244,condensation_iodine_1,2,1,1,1,0,0,0,0,1,2
245,condensation_water_1,0,2,0,2,2,2,0,0,2,1
246,crystallize_liquid_1,1,1,0,1,0,0,0,0,1,1
247,crystallize_liquid_2,1,1,0,1,0,0,0,0,1,1
248,dissolve_drug_1,1,1,0,1,0,0,0,0,0,1
249,evaporate_water_1,,,,,,,,,,,
250,evaporate_water_2,,,,,,,,,,,
251,forge_steel_1,1,1,1,1,1,0,1,1,0,0
252,liquefied_bromine_1,0,2,1,2,0,0,0,0,2,1
253,melt_crystals_1,1,1,0,1,0,0,0,0,1,0
254,soften_hair_1,0,2,1,1,0,0,1,0,0,0
255,sublime_dryice_1,1,2,1,2,0,0,0,0,1,0
256,sublime_iodine_1,1,2,0,1,0,0,0,0,1,1
257,pour_ointment_1,0,1,1,0,0,0,0,0,0,0
258,knead_plasticine_1,0,2,1,0,0,0,0,0,0,0
259,knead_plasticine_2,0,2,1,0,0,0,0,0,0,0
260,knead_plasticine_3,0,2,1,0,0,0,0,0,0,0
261,twist_rubber_1,0,1,2,1,0,0,1,0,0,1
262,scrape_cheese_4,0,1,2,1,0,0,0,0,0,0
263,melt_cheese_5,1,1,0,2,0,0,0,0,0,0
264,scrape_cheese_6,0,1,2,1,0,0,0,0,0,0
265,cut_chocolate_1,0,1,2,0,0,0,0,0,0,0
266,squeeze_ice_ cream_1,0,1,2,0,0,0,0,1,0,0
267,cut_cheese_2,0,1,2,1,0,0,0,0,0,0
268,cut_onion_1,0,2,1,1,0,0,0,0,0,0
269,melt_chocolate_2,0,1,0,2,0,0,0,0,0,0
270,cut_candy_1,0,1,2,0,0,2,0,0,0,2
271,knead_candy_2,0,2,1,0,0,0,0,0,1,0
272,knead_candy_3,0,2,1,0,0,0,1,0,1,0
273,make_glass_1,1,2,1,1,0,0,0,0,0,0
274,pour_cream_1,1,1,1,1,0,0,0,0,0,0
275,boil_dry_tea_1,1,0,2,1,0,0,0,0,0,1
276,boil_dry_watermelon_juice_1,1,1,1,1,0,0,0,0,0,0
277,twist_rubber_2,0,1,2,1,0,0,1,0,0,1
278,scrape_cheese_7,0,1,2,1,0,0,0,0,0,0
279,knead_plasticine_4,0,2,1,0,0,0,0,0,0,0
280,knead_plasticine_5,0,2,1,0,0,0,0,0,0,0
281,make_glass_2,1,1,1,1,0,0,0,1,0,0
282,make_glass_3,1,2,1,1,0,0,0,0,0,0
283,make_glass_4,1,2,1,1,0,0,0,1,1,0
284,make_glass_5,0,2,1,1,0,0,0,1,1,0
285,make_glass_6,1,1,1,1,0,0,1,1,0,0
286,make_glass_7,1,1,2,1,0,0,0,2,0,0
287,make_glass_8,2,1,2,1,0,0,2,2,0,0
288,make_glass_9,2,2,1,1,0,0,0,2,0,0
289,make_glass_10,2,1,2,1,0,0,0,2,1,0
290,make_glass_11,0,1,2,1,0,0,0,1,0,0
291,make_glass_12,1,1,1,1,0,0,1,2,1,0
292,knead_plasticine_6,0,2,1,0,0,0,0,0,0,0
293,crush_stress_ball_1,1,2,0,1,0,0,1,0,0,0
294,crush_stress_ball_2,1,2,0,1,0,0,1,1,0,0
295,crush_stress_ball_3,1,2,0,1,0,0,1,0,0,0
296,crush_stress_ball_4,1,2,0,1,0,0,1,0,0,0
297,crush_stress_ball_5,1,2,0,1,0,0,1,0,0,0
298,exhaust_smoke_1,0,2,1,0,1,0,0,0,1,0
299,exhaust_smoke_2,0,2,1,0,1,0,0,2,1,0
300,exhaust_smoke_3,0,2,1,1,1,0,0,0,1,0
301,smoke_dry_ice_1,0,2,1,2,0,0,0,0,1,0
302,tie_shoelaces_2,0,2,1,0,0,1,1,0,0,1
303,tie_shoelaces_3,0,2,1,0,0,1,1,0,0,1
304,tie_shoelaces_4,0,2,1,0,0,1,1,0,0,1
305,break_bubble_5,0,2,0,1,0,0,0,0,2,0
306,break_candy_jar_1,0,2,2,1,0,1,0,0,2,2
307,break_candy_jar_2,0,2,2,1,0,2,0,0,2,2
308,splash_liquid_1,0,2,2,2,0,0,0,0,0,2
309,splash_liquid_2,0,2,2,2,0,0,0,0,1,2
310,puncture_balloon_5,0,2,1,2,0,0,0,0,0,0
311,break_glass_7,0,2,1,2,0,0,0,0,2,1
312,splash_liquid_3,0,2,2,2,0,0,0,0,0,1
313,heat_corns_1,2,2,0,2,0,0,0,0,0,0
314,heat_corns_2,2,2,0,2,0,0,0,0,0,0
315,sharpen_pencil_2,1,1,1,1,0,0,0,0,0,1
316,burn_snacks_1,2,1,0,1,0,0,0,0,0,0
317,burn_candle_1,1,2,1,2,0,0,0,0,0,0
318,strike_match_1,1,1,0,2,0,0,0,0,0,0
319,slide_pen_1,0,1,0,1,0,0,0,0,0,1
320,slide_pencil_1,0,1,0,2,0,0,0,0,0,2
321,slide_pen_2,0,1,0,1,0,0,0,0,0,1
322,burn_paperclip_1,1,2,0,2,0,0,0,0,0,0
323,burn_metal_1,1,2,1,2,0,0,0,0,0,0
324,cut_pencil_1,0,2,1,1,0,0,0,0,0,0
325,burn_candy_1,2,0,0,2,0,0,0,0,0,0
326,sharpen_pencil_3,0,1,1,2,0,0,0,0,0,2
327,burn_candy_2,2,1,0,2,0,0,0,0,0,0
328,burn_candy_3,2,0,0,2,0,0,0,0,0,0
329,press_pencil_1,0,1,0,2,0,0,0,0,0,2
330,burn_metal_2,1,2,1,2,0,0,0,0,0,0
331,puncture_balloon_6,0,2,1,2,0,0,0,0,0,0
332,splash_liquid_4,0,2,2,2,0,0,0,0,0,1
333,splash_liquid_5,0,2,2,2,0,0,0,0,1,1
334,splash_liquid_6,0,2,2,2,0,0,0,0,0,1
335,push_blocks_1,0,0,2,0,0,1,0,0,0,1
336,dissolve_drug_2,0,2,1,1,0,0,0,0,0,0
337,dissolve_drug_3,0,2,1,1,0,0,0,0,0,0
338,dissolve_drug_4,0,2,1,1,0,0,0,0,1,0
339,dissolve_drug_5,2,2,1,2,0,0,0,0,0,0
340,dissolve_drug_6,1,2,1,2,0,0,0,0,0,0
341,dissolve_drug_7,0,2,1,1,0,0,0,0,0,0
342,dissolve_drug_8,0,2,1,1,1,0,0,0,0,0
343,burn_candy_4,0,1,0,2,0,0,0,0,0,0
344,burn_candy_5,0,1,0,2,0,0,0,0,0,0
345,burn_candy_5,1,1,1,2,0,0,0,0,0,0
346,pour_beer_2,0,2,1,0,0,0,0,0,1,0
347,wrap_wire_1,0,2,1,1,0,0,0,0,0,0
348,make_pottery_1,0,1,0,1,1,0,2,0,0,0
349,top_cake_1,0,2,0,0,0,0,0,2,0,0
350,top_cake_2,0,2,0,0,0,0,0,0,0,0
351,top_cake_3,0,2,0,0,0,0,0,2,0,0
352,top_cake_4,0,2,0,0,0,0,0,2,0,0
353,peel_fruit_1,0,2,1,1,1,0,1,1,0,0
354,peel_fruit_2,0,2,1,1,0,0,0,0,0,0
355,peel_fruit_3,0,2,1,1,0,0,0,0,0,0
356,peel_fruit_4,0,2,1,1,0,0,0,0,0,0
357,cut_steel_1,1,1,0,1,0,0,0,0,0,1
358,paint_cream_1,0,1,1,1,0,0,0,0,0,0
359,make_cake_1,0,1,1,1,0,0,0,0,0,0
360,make_glass_13,1,2,1,1,0,0,0,2,0,0
361,whish_egg_1,1,1,0,1,0,0,0,0,1,0
362,peel_fruit_7,0,2,1,1,0,0,0,0,0,0
363,whish_egg_2,1,1,0,1,0,0,0,0,1,0
364,whish_egg_3,0,1,0,1,0,0,0,0,0,0
365,melt_gold_1,1,1,1,1,0,0,0,1,0,1
366,make_glass_14,1,2,1,1,0,0,0,0,0,0
367,make_glass_15,1,1,1,1,0,0,1,2,0,0
368,make_glass_16,1,2,1,1,0,0,0,2,0,0
369,make_glass_17,1,2,1,1,0,0,0,2,0,0
370,make_glass_18,1,2,1,1,0,0,0,2,0,0
371,make_pottery_2,0,1,0,1,0,0,0,0,0,1
372,make_pottery_3,0,1,0,1,1,0,2,0,0,0
373,make_pottery_4,0,1,0,1,1,1,2,0,0,2
374,make_pottery_5,0,1,0,1,0,0,2,0,0,1
375,make_pottery_6,0,1,0,1,0,0,2,0,0,1
376,make_pottery_7,0,1,0,1,0,0,2,0,0,1
377,make_pottery_8,0,1,0,1,1,1,2,0,0,1
378,make_pottery_9,0,1,0,1,1,1,2,0,0,1
379,paint_chocolate_1,0,2,1,0,0,0,0,0,0,0
380,paint_cream_10,0,1,1,1,0,0,0,0,0,0
381,paint_cream_4,0,1,1,1,0,0,0,0,0,0
382,paint_cream_5,0,1,1,1,0,0,0,0,0,0
383,paint_cream_6,0,1,1,1,0,0,0,0,0,0
384,paint_cream_7,0,1,1,1,0,0,0,0,0,0
385,paint_cream_8,0,1,2,1,0,0,0,0,0,0
386,paint_cream_9,0,1,1,1,0,0,0,2,0,0
387,paint_cream_2,0,1,1,1,0,0,0,0,0,0
388,paint_cream_3,0,1,1,1,0,0,0,0,0,0
389,paint_cream_11,0,1,1,1,0,0,0,1,0,0
390,peel_fruit_5,0,2,1,1,0,0,0,1,0,0
391,peel_fruit_6,1,1,1,1,0,0,0,2,0,0
392,stretch_noodle_1,0,2,1,1,0,0,0,0,0,0
393,stretch_noodle_2,0,2,1,2,0,1,0,0,0,0
394,stretch_noodle_3,0,1,2,1,0,0,2,0,0,0
395,stretch_noodle_4,0,1,2,1,0,0,2,0,0,0
396,stretch_noodle_5,0,1,2,1,0,1,2,0,0,0
397,cut_dough_1,0,1,1,0,0,1,1,0,0,0
398,knead_dough_1,0,1,1,0,0,1,0,0,0,0
399,make_ball_1,0,1,1,1,0,1,2,0,0,0
400,tear_croquette_1,1,1,1,1,0,0,0,0,0,0
401,apply_cream_1,0,1,1,1,0,0,1,1,0,0
402,apply_cream_2,0,1,1,1,0,0,1,1,0,0
403,apply_cream_3,0,1,1,1,0,0,1,0,0,0
404,cut_fruit_1,0,1,1,1,0,1,1,0,0,1
405,cut_fruit_2,0,1,1,1,0,2,1,0,0,2
406,flip_roti_1,0,1,1,0,0,0,2,0,0,0
407,fry_egg_1,1,2,1,2,0,0,0,0,0,0
408,squeeze_dough_1,0,1,0,1,0,0,0,0,0,0
409,squeeze_dough_2,0,1,0,1,0,0,0,0,0,0
410,fry_omelet_1,1,1,0,1,0,0,0,0,0,0
411,fry_omelet_2,1,1,0,1,0,1,0,0,0,0
412,roll_omelet_1,0,1,1,1,0,1,0,0,0,0
413,tear_cake_1,1,2,0,1,0,0,0,0,0,0
414,tear_cake_2,1,2,0,1,0,0,0,0,0,0
415,burn_sauce_1,1,0,1,0,0,0,0,1,0,0
416,fry_omelet_3,1,1,0,1,0,0,0,0,0,0
417,pour_egg_1,0,1,1,0,0,0,0,0,0,0
418,whish_egg_4,1,0,0,1,0,0,0,0,0,0
419,fry_dough_1,1,1,1,1,0,0,0,0,0,0
420,fry_dough_3,1,1,1,1,0,1,0,0,0,0
421,fry_dough_2,1,1,1,1,0,1,0,0,0,0
422,knead_dough_2,0,1,1,0,0,1,0,0,0,0
423,pile_dough_1,0,0,2,0,0,1,0,0,0,0
424,pile_dough_2,0,0,2,0,0,1,0,1,0,0
425,pour_syrup_1,0,1,1,0,0,0,0,0,1,0
426,make_pancakes_2,0,2,1,1,0,0,0,0,0,0
427,make_pancakes_3,0,2,1,1,0,0,0,0,0,0
428,squeeze_dough_3,0,1,0,1,0,1,0,0,0,0
429,break_aloe_1,0,2,1,1,0,0,0,0,0,0
430,cut_aloe_1,0,2,1,1,0,0,0,0,0,0
431,cut_honeycomb_1,1,2,1,1,0,0,0,1,0,0
432,cut_honeycomb_2,1,2,1,1,0,1,0,0,0,0
433,cut_honeycomb_3,1,2,1,1,0,0,0,0,0,0
434,squeeze_honey_1,0,2,1,0,0,0,0,0,1,0
435,squeeze_honey_2,0,2,1,0,0,0,0,0,1,0
436,squeeze_bread_1,0,1,1,1,0,0,0,0,0,0
437,melt_chocolate_3,0,1,0,2,0,1,0,0,0,0
438,paint_chocolate_2,0,2,1,0,0,0,0,0,0,0
439,cut_cheese_3,0,2,1,1,0,0,0,0,0,0
440,dissemble_machinery_1,0,2,1,1,0,0,1,0,0,2
441,assemble_machinery_1,0,2,1,1,0,0,1,0,0,2
442,assemble_machinery_2,0,2,1,1,0,0,1,0,0,2
443,assemble_machinery_3,0,2,1,1,0,0,1,2,0,2
444,assemble_machinery_4,0,2,1,1,0,0,1,0,0,2
445,assemble_machinery_5,0,2,1,1,0,0,1,0,0,2
446,spread_sauce_1,1,0,1,1,0,1,0,0,0,0
447,melt_chocolate_3,0,1,0,2,0,0,0,1,0,0
448,melt_chocolate_4,0,1,0,2,0,0,0,1,0,0
449,exhaust_smoke_4,0,2,1,1,0,0,0,0,1,0
450,crystallize_liquid_8,1,1,0,1,0,0,0,0,1,1
451,assemble_machinery_7,0,0,2,1,0,0,1,0,0,2
452,assemble_machinery_8,0,0,2,1,0,0,1,0,0,2
453,assemble_machinery_9,0,0,2,1,0,1,1,2,0,2
454,assemble_machinery_10,0,0,2,1,0,1,1,0,0,2
455,generate_crystals_1,0,2,1,1,0,0,0,0,0,0
456,generate_crystals_2,1,1,1,1,0,0,0,0,0,0
