Video Id,Video Name ,颜色,形状,位置,状态,视频质量
49,clipoff_wood_1,0,0,0,2,1
50,clipoff_wood_2,0,0,0,2,1
51,disassemble_firework_1,0,0,2,2,1
52,assemble_firework_2,0,0,2,2,1
53,assemble_firework_3,0,0,2,2,1
54,cut_carrot_1,0,0,1,1,0
55,cut_carrot_2,0,0,1,1,0
56,cut_celery_1,0,0,1,1,0
57,cut_celery_2,0,0,1,1,0
58,cut_chili_pepper_1,0,0,1,1,0
59,cut_cucumber_1,0,0,1,1,0
60,cut_spinach_1,0,0,1,1,0
61,cut_spinach_2,0,0,1,1,0
62,peel_garlic_1,0,0,1,1,0
63,pull_noodles_1,0,0,1,1,0
64,knitting_sweater_1,0,1,1,0,2
65,knitting_sweater_2,0,1,1,0,2
66,knitting_sweater_3,0,1,1,0,2
67,knitting_sweater_4,0,1,1,0,2
68,knitting_sweater_5,0,1,1,0,2
69,shake_chemical_liquid_1,0,0,0,1,0
70,shake_chemical_liquid_2,0,0,0,1,0
71,shake_chemical_liquid_3,0,0,0,1,0
72,peel_electricwire_1,0,1,0,0,1
73,peel_electricwire_2,0,1,0,0,1
74,peel_electricwire_3,0,1,0,0,1
75,melt_cheese_1,0,1,0,0,0
76,melt_oil_1,0,1,0,0,0
77,twist_mop_1,0,1,0,0,1
78,shake_wine_1,0,2,0,0,1
79,shake_wine_2,0,2,0,0,1
80,pour_milk_1,0,2,0,0,1
81,cut_garlic_1,0,1,0,0,0
82,cut_green_olives_1,0,1,0,0,0
83,cut_tomato_1,0,1,0,0,0
84,disassemble_gun_1,0,0,2,0,0
85,disassemble_gun_2,0,0,2,0,0
86,disassemble_gun_3,0,0,2,0,0
87,pour_water_1,0,1,0,0,0
88,pour_beer_1,0,1,0,0,0
89,tie_shoelaces_1,0,1,2,0,1
90,cut_cigar_wrapper_1,0,1,2,0,1
91,warp_cigar_1,0,1,2,0,1
92,warp_cigar_2,0,1,2,0,1
93,warp_cigar_3,0,1,2,0,1
94,make_chocolate_noddle_1,0,2,0,0,0
95,ground_herbal_1,0,2,0,0,2
96,pour_ground_herbal_2,0,2,0,0,2
97,pour_water_2 （slow）,0,2,0,0,0
98,"pour_water_3
(slow)
",0,2,0,0,0
99,serve_dishes_1,0,0,2,0,0
100,pour_soup_1,0,0,2,0,0
101,pour_soup_2,0,0,2,0,0
102,chop_onion_1,0,1,2,0,0
103,heat_water_1,0,0,1,0,0
104,assemble_puzzle_1,0,0,2,0,0
105,assemble_puzzle_2,0,0,2,0,0
106,break_puzzle_1,0,0,2,0,0
107,assemble_puzzle_3,0,0,2,0,0
108,assemble_puzzle_4,0,0,2,0,0
109,stir_milk_1,2,0,0,0,0
110,"pour_water_4
(slow)
",0,2,0,0,0
111,drip_liquid_1,0,0,2,0,0
112,drip_liquid_2,0,0,2,0,0
113,carving_radish_1,0,2,2,0,0
114,curly_pile_1,0,1,1,0,0
115,sharpen_pencil_1,0,2,1,0,0
116,sheare_sheep_1,0,1,0,0,1
117,sheare_sheep_2,0,1,0,0,1
118,sheare_sheep_3,0,1,0,0,1
119,grind_powder_,0,2,0,0,0
120,scoop_seeds_1,0,0,1,0,0
121,smash_cucumber_1,0,2,0,0,2
122,smash_fruit_1,0,2,0,0,1
123,smash_fruit_2,0,2,0,0,1
124,smash_garlic_1,0,2,0,0,1
125,smash_herbs_1,0,2,0,0,1
126,smash_seeds_1,0,2,0,0,1
127,water_change_color_1,2,0,0,0,0
128,water_change_color_2,1,0,0,0,0
129,make_pancakes_1,0,1,0,0,0
130,make_omelet_1,0,1,0,0,0
131,Brush_sauce_1,0,1,0,0,0
132,shave_beard_1,0,1,0,0,0
133,shave_beard_2,0,1,0,0,0
134,shave_fish_1,0,1,0,0,0
135,shave_fish_2,0,1,0,0,0
136,turn_screw_1,0,1,0,0,0
137,turn_screw_2,0,1,0,0,0
138,turn_screw_3,0,1,0,0,0
139,paint_plate_1,0,2,0,0,0
140,break_glass_1,0,2,0,0,0
141,grow_plant_1,0,2,0,0,0
142,pull_cataracts_1,0,2,1,0,0
143,pull_noodles_2,0,2,1,0,0
144,pull_noodles_3,0,2,1,0,0
145,suture_wound_1,0,2,1,0,0
146,suture_wound_2,0,2,1,0,0
147,tearing_cabbage_1,0,2,0,0,0
148,tie_knot_1,0,1,1,0,0
149,tie_knot_2,0,1,1,0,0
150,apply_glue_1,0,2,1,0,0
151,apply_glue_2,0,2,1,0,0
152,break_ cookies_1,0,1,1,0,0
153,break_bubble_1,0,2,0,0,0
154,break_bubble_2,0,2,0,0,0
155,break_bubble_3,0,2,0,0,0
156,break_bubble_4,0,2,0,0,0
157,stir_cola_1,1,2,0,0,0
158,stir_cola_2,1,2,0,0,0
159,cut_glue_stickt_1,0,1,0,0,0
160,erupting_liquid_1,1,2,0,0,0
161,erupting_liquid_2,1,2,0,0,0
162,flow_water_1,0,1,0,0,0
163,hit_balloon_1,0,0,2,0,0
164,hit_balloon_2,0,0,2,0,0
165,knead_cheese_1,0,2,1,0,0
166,knead_cheese_2,0,2,1,0,0
167,knead_cheese_3,0,2,1,0,0
168,Making_fibers_1,2,1,0,0,0
169,Melting_cans_1,2,1,0,0,0
170,pour_tea_1,0,0,2,0,0
171,pour_tea_2,0,0,2,0,0
172,pour_tea_3,0,0,2,0,0
173,pour_tea_4,0,0,2,0,0
174,pour_tea_5,0,0,2,0,0
175,pour_tea_6,0,0,2,0,0
176,pour_tea_7,0,0,2,0,0
177,solidify_gold_1,2,0,1,0,0
178,puncture_balloon_1,0,2,0,0,0
179,puncture_balloon_2,0,2,0,0,0
180,puncture_ballon_3,0,2,0,0,0
181,puncture_balloon_4,0,2,0,0,0
182,Rubbing_sponge_1,0,1,0,0,0
183,solder_wire_1,0,1,0,2,0
184,solidify_aluminum_1,0,1,1,2,0
185,solidify_aluminum_2,0,1,1,2,0
186,solidify_iron_1,0,1,1,2,0
187,solidify_water_1,0,1,1,2,0
188,solidify_water_2,0,1,1,2,0
189,solidify_water_3,0,1,1,2,0
190,solidify_water_4,0,1,1,2,0
191,solidify_water_5,0,1,1,2,0
192,solidify_water_6,0,1,1,2,0
193,solidify_water_7,0,1,1,2,0
194,splash_water_1,0,2,0,0,0
195,splash_water_2,0,2,0,0,0
196,melt_glue_block_1,0,2,0,1,0
197,melt_glue_stick_2,0,2,0,0,0
198,melt_glue_stick_3,0,2,0,0,0
199,melt_glue_stick_4,0,2,0,1,0
200,splash_water_3,0,2,2,2,2
201,splash_water_4,0,2,2,2,2
202,splash_water_5,0,2,2,2,2
203,splash_water_6,0,2,2,2,2
204,crystallize_metal_1,0,2,0,0,0
205,crystallize_liquid_3,0,2,0,0,0
206,crystallize_liquid_4,0,2,0,0,2
207,crystallize_liquid_5,0,2,0,0,0
208,break_glass_4,0,2,0,0,0
209,break_glass_5,0,2,0,0,0
210,condensation_water_2,0,2,0,2,1
211,grow_rime_1,0,2,0,2,1
212,vaporized_liquid_nitrogen_1,2,2,0,2,1
213,evaporate_water_3,0,2,0,2,1
214,evaporate_water_4,0,2,0,2,1
215,condensation_water_3,0,1,0,1,0
216,evaporate_water_5,0,1,0,1,0
217,solify_liquid_2,0,1,0,1,0
218,evaporate_water_5,0,1,0,1,0
219,crystallize_liquid_3,0,1,0,1,0
220,crystallize_liquid_4,0,1,0,1,0
221,crystallize_liquid_5,0,1,0,1,0
222,crystallize_liquid_6,0,1,0,1,0
223,solify_liquid_1,0,1,0,1,0
224,evaporate_water_6,0,1,0,1,0
225,burn_plastic_1,0,1,0,1,0
226,burn_plastic_2,0,1,0,1,0
227,break_glass_6,0,1,0,1,0
228,sublime_dryice_2,0,1,0,1,0
229,soften_metal_1,0,1,0,1,0
230,crystallize_liquid_7,2,1,0,1,0
231,sublime_dryice_3,0,1,0,1,0
232,sublime_dryice_4,0,1,0,1,0
233,generate_iodine_1,2,1,0,1,0
234,generate_iodine_2,2,1,0,1,0
235,forge_steel_2,2,2,0,0,0
236,condensation_water_4,0,2,0,0,0
237,condensation_water_5,0,2,0,0,0
238,dissolve_salt_1,0,2,0,0,0
239,melt_chocolate_1,0,2,0,2,0
240,burn_plastic_3,0,2,0,2,0
241,break_glass_2,0,2,0,1,0
242,break_glass_3,0,2,0,1,0
243,coagulate_water_1,0,2,0,1,0
244,condensation_iodine_1,2,1,1,1,1
245,condensation_water_1,2,1,1,1,1
246,crystallize_liquid_1,0,2,0,0,0
247,crystallize_liquid_2,0,2,0,0,0
248,dissolve_drug_1,0,2,0,0,0
249,evaporate_water_1,0,2,0,0,0
250,evaporate_water_2,0,2,0,0,0
251,forge_steel_1,0,2,0,0,1
252,liquefied_bromine_1,1,0,0,0,1
253,melt_crystals_1,0,1,0,0,0
254,soften_hair_1,0,2,0,0,0
255,sublime_dryice_1,1,2,0,1,1
256,sublime_iodine_1,1,2,0,1,1
257,pour_ointment_1,0,0,2,1,1
258,knead_plasticine_1,0,0,2,1,1
259,knead_plasticine_2,0,0,2,1,1
260,knead_plasticine_3,0,0,2,1,1
261,twist_rubber_1,0,2,1,1,1
262,scrape_cheese_4,0,2,0,0,1
263,melt_cheese_5,2,1,0,0,0
264,scrape_cheese_6,0,1,0,0,0
265,cut_chocolate_1,0,1,0,0,0
266,squeeze_ice_ cream_1,0,1,0,0,0
267,cut_cheese_2,0,1,0,0,0
268,cut_onion_1,2,2,1,0,0
269,melt_chocolate_2,0,1,1,0,0
270,cut_candy_1,0,1,0,0,0
271,knead_candy_2,0,1,0,2,0
272,knead_candy_3,0,1,0,0,0
273,make_glass_1,0,1,0,0,0
274,pour_cream_1,0,1,0,0,0
275,boil_dry_tea_1,0,2,0,0,1
276,boil_dry_watermelon_juice_1,0,1,0,0,0
277,twist_rubber_2,0,2,0,1,0
278,scrape_cheese_7,0,2,0,1,0
279,knead_plasticine_4,0,2,0,2,1
280,knead_plasticine_5,0,2,0,2,1
281,make_glass_2,2,2,2,2,2
282,make_glass_3,2,2,2,2,2
283,make_glass_4,2,2,2,2,2
284,make_glass_5,2,2,2,2,2
285,make_glass_6,2,2,2,2,2
286,make_glass_7,2,2,2,2,2
287,make_glass_8,2,2,2,2,2
288,make_glass_9,2,2,2,2,2
289,make_glass_10,2,2,2,2,2
290,make_glass_11,2,2,2,2,2
291,make_glass_12,2,2,2,2,2
292,knead_plasticine_6,0,2,0,0,0
293,crush_stress_ball_1,0,1,0,0,0
294,crush_stress_ball_2,0,1,0,0,0
295,crush_stress_ball_3,0,1,0,0,0
296,crush_stress_ball_4,0,1,0,0,0
297,crush_stress_ball_5,0,1,0,0,0
298,exhaust_smoke_1,0,2,0,0,0
299,exhaust_smoke_2,0,2,0,0,0
300,exhaust_smoke_3,0,1,0,0,0
301,smoke_dry_ice_1,0,2,0,0,0
302,tie_shoelaces_2,0,2,2,0,0
303,tie_shoelaces_3,0,2,2,0,0
304,tie_shoelaces_4,0,2,2,0,0
305,break_bubble_5,0,0,0,0,0
306,break_candy_jar_1,0,2,0,2,0
307,break_candy_jar_2,0,2,0,2,0
308,splash_liquid_1,0,1,0,2,0
309,splash_liquid_2,0,1,0,2,0
310,puncture_balloon_5,0,2,0,2,0
311,break_glass_7,0,2,0,2,0
312,splash_liquid_3,0,1,0,2,0
313,heat_corns_1,1,2,0,2,0
314,heat_corns_2,1,2,0,2,0
315,sharpen_pencil_2,0,2,0,0,0
316,burn_snacks_1,1,1,0,0,1
317,burn_candle_1,1,0,0,0,1
318,strike_match_1,0,2,0,0,1
319,slide_pen_1,0,2,0,1,0
320,slide_pencil_1,0,0,0,0,1
321,slide_pen_2,1,0,0,0,1
322,burn_paperclip_1,0,2,1,0,1
323,burn_metal_1,0,2,0,0,0
324,cut_pencil_1,1,2,0,0,1
325,burn_candy_1,0,2,0,0,1
326,sharpen_pencil_3,0,2,0,2,0
327,burn_candy_2,0,2,0,2,0
328,burn_candy_3,0,2,0,2,0
329,press_pencil_1,0,2,0,2,0
330,burn_metal_2,0,2,0,2,0
331,puncture_balloon_6,1,2,0,2,0
332,splash_liquid_4,0,2,0,1,0
333,splash_liquid_5,0,2,0,1,0
334,splash_liquid_6,0,2,0,1,2
335,push_blocks_1,0,2,0,2,0
336,dissolve_drug_2,0,2,0,1,1
337,dissolve_drug_3,0,2,0,1,0
338,dissolve_drug_4,0,2,0,2,1
339,dissolve_drug_5,0,1,0,1,0
340,dissolve_drug_6,0,2,0,2,1
341,dissolve_drug_7,0,2,0,1,0
342,dissolve_drug_8,0,2,0,1,1
343,burn_candy_4,2,2,0,0,0
344,burn_candy_5,2,2,0,0,0
345,burn_candy_5,2,0,0,0,0
346,pour_beer_2,0,0,0,2,0
347,wrap_wire_1,0,2,0,0,0
348,make_pottery_1,0,2,0,0,2
349,top_cake_1,0,2,0,0,1
350,top_cake_2,0,2,1,0,0
351,top_cake_3,0,2,0,0,1
352,top_cake_4,0,2,0,1,0
353,peel_fruit_1,0,2,0,1,2
354,peel_fruit_2,0,2,0,1,2
355,peel_fruit_3,0,2,0,1,1
356,peel_fruit_4,0,2,0,1,0
357,cut_steel_1,0,2,0,0,1
358,paint_cream_1,0,2,2,2,1
359,make_cake_1,0,1,2,2,0
360,make_glass_13,0,2,2,2,0
361,whish_egg_1,0,2,1,2,1
362,peel_fruit_7,0,2,2,1,1
363,whish_egg_2,0,2,2,1,0
364,whish_egg_3,0,2,2,1,1
365,melt_gold_1,0,1,2,2,1
366,make_glass_14,2,2,2,2,2
367,make_glass_15,2,2,2,2,2
368,make_glass_16,2,2,2,2,2
369,make_glass_17,2,2,2,2,2
370,make_glass_18,2,2,2,2,2
371,make_pottery_2,0,1,0,0,0
372,make_pottery_3,0,1,0,0,1
373,make_pottery_4,0,1,0,0,0
374,make_pottery_5,0,1,0,0,0
375,make_pottery_6,0,1,0,0,1
376,make_pottery_7,0,1,0,0,0
377,make_pottery_8,0,1,0,0,0
378,make_pottery_9,0,1,0,0,0
379,paint_chocolate_1,0,2,0,0,1
380,paint_cream_10,0,2,2,2,1
381,paint_cream_4,0,2,2,2,1
382,paint_cream_5,0,2,2,2,1
383,paint_cream_6,0,2,2,2,1
384,paint_cream_7,0,2,2,2,1
385,paint_cream_8,0,2,2,2,1
386,paint_cream_9,0,2,2,2,1
387,paint_cream_2,0,2,2,2,1
388,paint_cream_3,0,2,2,2,1
389,paint_cream_11,0,2,2,2,1
390,peel_fruit_5,0,2,1,1,0
391,peel_fruit_6,0,1,1,1,0
392,stretch_noodle_1,0,2,1,0,1
393,stretch_noodle_2,0,2,1,0,1
394,stretch_noodle_3,0,2,1,1,1
395,stretch_noodle_4,0,1,1,0,1
396,stretch_noodle_5,0,2,1,0,1
397,cut_dough_1,0,2,1,0,0
398,knead_dough_1,0,2,0,0,0
399,make_ball_1,0,2,0,0,0
400,tear_croquette_1,0,1,0,1,1
401,apply_cream_1,0,2,1,0,1
402,apply_cream_2,0,1,1,0,0
403,apply_cream_3,0,1,0,1,1
404,cut_fruit_1,0,2,1,0,0
405,cut_fruit_2,0,2,1,0,0
406,flip_roti_1,0,2,2,2,2
407,fry_egg_1,0,2,2,2,1
408,squeeze_dough_1,1,1,1,0,0
409,squeeze_dough_2,1,1,0,1,0
410,fry_omelet_1,0,2,0,0,0
411,fry_omelet_2,0,2,0,0,0
412,roll_omelet_1,0,2,0,0,0
413,tear_cake_1,0,2,1,2,1
414,tear_cake_2,0,2,0,2,1
415,burn_sauce_1,0,2,2,2,1
416,fry_omelet_3,1,1,1,0,0
417,pour_egg_1,1,1,0,1,0
418,whish_egg_4,0,2,0,0,0
419,fry_dough_1,0,0,0,1,0
420,fry_dough_3,0,0,0,0,0
421,fry_dough_2,0,2,1,1,1
422,knead_dough_2,0,1,0,2,0
423,pile_dough_1,0,2,2,2,1
424,pile_dough_2,1,1,1,0,0
425,pour_syrup_1,1,1,0,1,0
426,make_pancakes_2,0,2,0,0,1
427,make_pancakes_3,0,2,1,1,0
428,squeeze_dough_3,1,0,0,0,0
429,break_aloe_1,0,0,1,2,1
430,cut_aloe_1,0,2,1,2,1
431,cut_honeycomb_1,1,0,2,2,1
432,cut_honeycomb_2,1,1,1,0,0
433,cut_honeycomb_3,1,1,0,0,0
434,squeeze_honey_1,0,2,1,0,0
435,squeeze_honey_2,1,2,0,0,11
436,squeeze_bread_1,0,0,0,0,0
437,melt_chocolate_3,0,2,1,2,1
438,paint_chocolate_2,1,0,0,2,0
439,cut_cheese_3,0,0,2,1,1
440,dissemble_machinery_1,0,1,0,1,1
441,assemble_machinery_1,1,1,0,0,0
442,assemble_machinery_2,0,2,0,0,0
443,assemble_machinery_3,0,1,1,0,0
444,assemble_machinery_4,0,2,0,0,1
445,assemble_machinery_5,1,1,0,2,0
446,spread_sauce_1,0,2,0,2,1
447,melt_chocolate_3,0,2,2,0,0
448,melt_chocolate_4,1,0,0,0,0
449,exhaust_smoke_4,1,1,1,1,1
450,crystallize_liquid_8,0,1,0,0,0
451,assemble_machinery_7,0,0,0,0,0
452,assemble_machinery_8,0,2,0,0,0
453,assemble_machinery_9,1,2,0,2,1
454,assemble_machinery_10,0,2,0,2,1
455,generate_crystals_1,0,1,1,2,1
456,generate_crystals_2,1,1,1,0,0
457,generate_crystals_3,1,1,0,1,0
458,generate_crystals_4,0,2,0,0,0
459,generate_crystals_5,0,2,1,0,1
460,generate_crystals_6,0,2,0,0,0
461,flower_change_color_1,0,2,1,1,1
462,flower_change_color_2,0,2,1,2,1
463,flower_change_color_3,0,2,2,2,1
464,generate_precipitate_1,1,1,1,0,1
465,generate_crystals_1,1,1,0,1,0
466,generate_crystals_2,0,2,0,0,0
467,merge_droplets_1,0,1,0,0,0
468,dissolve_metal_1,0,1,0,0,1
469,dissolve_metal_2,0,2,1,2,1
470,dissolve_metal_3,0,2,0,2,1
471,generate_gas_1,0,2,0,1,1
472,merge_droplets_2,1,1,1,1,0
473,burn_metal_1,1,1,1,1,0
474,burn_metal_2,0,2,0,1,0
475,spread_sauce_2,0,2,0,0,0
476,spread_cheese_1,0,0,0,0,0
477,assemble_machinery_11,0,2,1,2,1
478,assemble_machinery_12,0,2,0,2,1
479,assemble_machinery_13,0,2,2,1,1
480,exhaust_smoke_5,1,1,1,0,0
481,break_glass_7,1,1,0,1,0
482,break_glass_8,0,2,0,0,0
483,falldown_smoke_1,0,1,1,0,0
484,cut_ice_cream_1,0,2,0,0,0
485,controller_magnetic_fluid_1,0,2,1,2,1
486,controller_magnetic_fluid_2,0,2,0,2,1
487,cut_ice_cream_2,0,2,2,1,1
488,controller_magnetic_fluid_4,1,1,1,0,0
489,pull_mucus_1,1,1,0,1,0
490,syphon_liquid_1,0,2,0,0,0
491,create_waves_1,0,0,0,0,0
492,diffuse_pigment_1,0,2,0,0,0
493,diffuse_pigment_2,0,2,0,2,1
494,diffuse_smoke_1,0,2,1,2,1
495,diffuse_smoke_2,0,2,2,2,1
496,diffuse_pigment_3,1,1,1,0,0
497,stir_milk_2,1,1,0,1,1
498,pour_pigment_1,0,2,0,0,0
499,pour_pigment_2,0,0,1,0,0
500,pour_magnetic_particle_1,0,2,0,0,0
501,drip_liquid_3,0,0,1,2,0
502,paint_pigment_1,0,2,0,2,1
503,pour_pigment_3,0,2,1,2,0
504,pour_pigment_4,1,1,1,0,0
505,pour_tea_8,0,0,0,1,0
506,pour_tea_9,0,1,1,1,0
507,pour_tea_10,0,2,0,0,0
508,pour_tea_11,0,2,0,1,0
509,pour_tea_12,0,2,1,0,1
510,pour_tea_13,0,2,0,2,1
511,pour_tea_14,0,2,2,2,1
512,pour_tea_15,1,1,1,0,0
513,pour_tea_16,1,1,0,1,0
514,pour_tea_17,0,2,0,0,0
515,pour_tea_18,0,0,0,0,0
516,pour_tea_19,0,2,0,0,0
517,wrap_wire_2,0,2,1,0,1
518,wrap_wire_3,0,2,0,1,1
519,wrap_wire_4,0,2,2,2,1
520,make_glass_19,1,1,1,0,0
521,wrap_wire_5,1,1,1,1,0
522,wrap_wire_6,0,1,0,0,0
523,wrap_wire_7,0,2,1,0,0
524,wrap_wire_8,0,2,0,0,0
525,wrap_wire_9,0,1,1,2,1
526,wrap_wire_10,0,2,0,1,1
527,wrap_wire_11,0,2,2,2,1
528,wrap_wire_12,1,1,1,0,0
529,splash_liquid_7,1,1,1,1,0
530,splash_liquid_8,0,2,0,0,0
531,splash_liquid_9,0,2,0,0,0
532,splash_liquid_10,0,2,1,0,0
533,splash_liquid_11,0,1,1,2,1
534,erupt_foam_1,0,2,0,1,1
535,erupt_foam_2,0,2,2,2,1
536,erupt_foam_3,1,1,1,0,1
537,pour_pigment_5,1,1,0,1,1
538,pour_pigment_6,0,2,1,0,0
539,pour_pigment_7,0,1,0,1,0
540,scrap_wax_1,0,1,0,1,0
541,tear_wallpaper_1,0,2,1,2,1
542,tear_wallpaper_2,1,2,2,2,1
543,tear_wallpaper_3,0,2,2,2,1
544,tear_wallpaper_4,1,1,1,0,0
545,tear_wallpaper_5,1,1,0,1,1
546,tear_wallpaper_6,0,2,0,0,0
547,tear_wallpaper_7,1,2,0,0,0
548,tear_wallpaper_8,0,2,0,0,0
